Nr. Pomiaru,Data,Ciężar ładunku [T],Długość wysięgnika [m],Odległość od osi [m],Wysokość podnoszenia [m],"Maksymalne, chwilowe zużycie ON [l/h]",Dzienne zużycie ON [l/8h],Cena hurtowa ON 1000l [PLN],"Maksymalne, chwilowe zużycie energii elektrycznej [kW]",Dzienne zużycie energii elektrycznej [kW/8h],Cena energii elektrycznej [kWh],Koszt dzienny [PLN],Prędkość wiatru [km/h],Prędkość wiatru [m/s],Temperatura [C],Ciśnienie [hPa]
430,6/22/2022,5,17.7,43,7,,,,39.8,79.2,0.4843,38.35656,12.75,3.54,16,1012
431,6/22/2022,8,17.7,43,7,,,,39.8,79.2,0.4843,38.35656,12.75,3.54,16,1012
432,6/22/2022,15,17.7,43,7,,,,39.8,79.2,0.4843,38.35656,12.75,3.54,16,1012
433,6/23/2022,5,22.2,15,40,,,,39.6,79.2,0.4843,38.35656,12,3.33,18,1016
434,6/23/2022,8,22.2,15,40,,,,39.6,79.2,0.4843,38.35656,12,3.33,18,1016
435,6/23/2022,15,22.2,15,40,,,,39.6,79.2,0.4843,38.35656,12,3.33,18,1016
436,6/24/2022,5,26.7,47,9,,,,40,80.1,0.4843,38.79243,21.75,6.04,20,1013
437,6/24/2022,8,26.7,47,9,,,,40,80.1,0.4843,38.79243,21.75,6.04,20,1013
438,6/24/2022,15,26.7,47,9,,,,40,80.1,0.4843,38.79243,21.75,6.04,20,1013
439,6/27/2022,5,26.7,42,24,,,,39.6,79.2,0.4843,38.35656,13.25,3.68,23,1017
440,6/27/2022,8,26.7,42,24,,,,39.6,79.2,0.4843,38.35656,13.25,3.68,23,1017
441,6/27/2022,15,26.7,42,24,,,,39.6,79.2,0.4843,38.35656,13.25,3.68,23,1017
442,6/28/2022,5,31.3,28,42,,,,39.8,79.2,0.4843,38.35656,19.75,5.49,25,1017
443,6/28/2022,8,31.3,28,42,,,,39.8,79.2,0.4843,38.35656,19.75,5.49,25,1017
444,6/28/2022,15,31.3,28,42,,,,39.8,79.2,0.4843,38.35656,19.75,5.49,25,1017
445,6/29/2022,5,31.3,11,46,,,,39.6,79.2,0.4843,38.35656,22.5,6.25,23,1015
446,6/29/2022,8,31.3,11,46,,,,39.6,79.2,0.4843,38.35656,22.5,6.25,23,1015
447,6/29/2022,15,31.3,11,46,,,,39.6,79.2,0.4843,38.35656,22.5,6.25,23,1015
448,6/30/2022,5,35.8,51,10,,,,40,80.1,0.4843,38.79243,17.5,4.86,26,1012
449,6/30/2022,8,35.8,51,10,,,,40,80.1,0.4843,38.79243,17.5,4.86,26,1012
450,6/30/2022,15,35.8,51,10,,,,40,80.1,0.4843,38.79243,17.5,4.86,26,1012
451,7/1/2022,5,13.2,36,38,,,,40,80.1,0.4843,38.79243,25,6.94,28,1011
452,7/1/2022,8,13.2,36,38,,,,40,80.1,0.4843,38.79243,25,6.94,28,1011
453,7/1/2022,15,13.2,36,38,,,,40,80.1,0.4843,38.79243,25,6.94,28,1011
454,7/4/2022,5,13.2,19,48,,,,39.6,79.2,0.4843,38.35656,9.75,2.71,22,1016
455,7/4/2022,8,13.2,19,48,,,,39.6,79.2,0.4843,38.35656,9.75,2.71,22,1016
456,7/4/2022,15,13.2,19,48,,,,39.6,79.2,0.4843,38.35656,9.75,2.71,22,1016
457,7/5/2022,5,17.7,57,11,,,,39.8,79.2,0.4843,38.35656,13.75,3.82,18,1018
458,7/5/2022,8,17.7,57,11,,,,39.8,79.2,0.4843,38.35656,13.75,3.82,18,1018
459,7/5/2022,15,17.7,57,11,,,,39.8,79.2,0.4843,38.35656,13.75,3.82,18,1018
460,7/6/2022,5,17.7,46,34,,,,39.6,79.2,0.4843,38.35656,15.5,4.31,18,1018
461,7/6/2022,8,17.7,46,34,,,,39.6,79.2,0.4843,38.35656,15.5,4.31,18,1018
462,7/6/2022,15,17.7,46,34,,,,39.6,79.2,0.4843,38.35656,15.5,4.31,18,1018
463,7/7/2022,5,22.2,21,52,,,,40,80.1,0.4843,38.79243,12.5,3.47,17,1017
464,7/7/2022,8,22.2,21,52,,,,40,80.1,0.4843,38.79243,12.5,3.47,17,1017
465,7/7/2022,15,22.2,21,52,,,,40,80.1,0.4843,38.79243,12.5,3.47,17,1017
466,7/8/2022,5,22.2,61,12,,,,39.6,79.2,0.4843,38.35656,17.5,4.86,17,1022
467,7/8/2022,8,22.2,61,12,,,,39.6,79.2,0.4843,38.35656,17.5,4.86,17,1022
468,7/8/2022,15,22.2,61,12,,,,39.6,79.2,0.4843,38.35656,17.5,4.86,17,1022
469,7/11/2022,5,26.7,56,27,,,,39.8,79.2,0.4843,38.35656,17.5,4.86,14,1018
470,7/11/2022,8,26.7,56,27,,,,39.8,79.2,0.4843,38.35656,17.5,4.86,14,1018
471,7/11/2022,15,26.7,56,27,,,,39.8,79.2,0.4843,38.35656,17.5,4.86,14,1018
472,7/12/2022,5,26.7,38,48,,,,39.6,79.2,0.4843,38.35656,23.5,6.53,15,1019
473,7/12/2022,8,26.7,38,48,,,,39.6,79.2,0.4843,38.35656,23.5,6.53,15,1019
474,7/12/2022,15,26.7,38,48,,,,39.6,79.2,0.4843,38.35656,23.5,6.53,15,1019
475,7/13/2022,5,31.3,18,57,,,,39.6,79.2,0.4843,38.35656,25,6.94,18,1017
476,7/13/2022,8,31.3,18,57,,,,39.6,79.2,0.4843,38.35656,25,6.94,18,1017
477,7/13/2022,15,31.3,18,57,,,,39.6,79.2,0.4843,38.35656,25,6.94,18,1017
478,7/14/2022,5,31.3,65,14,,,,39.8,79.2,0.4843,38.35656,20,5.56,22,1014
479,7/14/2022,8,31.3,65,14,,,,39.8,79.2,0.4843,38.35656,20,5.56,22,1014
480,7/14/2022,15,31.3,65,14,,,,39.8,79.2,0.4843,38.35656,20,5.56,22,1014
481,7/15/2022,5,35.8,49,44,,,,39.6,79.2,0.4843,38.35656,19.75,5.49,18,1017
482,7/15/2022,8,35.8,49,44,,,,39.6,79.2,0.4843,38.35656,19.75,5.49,18,1017
483,7/15/2022,15,35.8,49,44,,,,39.6,79.2,0.4843,38.35656,19.75,5.49,18,1017
484,7/18/2022,5,35.8,21,62,,,,40,80.1,0.4843,38.79243,9,2.5,19,1024
485,7/18/2022,8,35.8,21,62,,,,40,80.1,0.4843,38.79243,9,2.5,19,1024
486,7/18/2022,15,35.8,21,62,,,,40,80.1,0.4843,38.79243,9,2.5,19,1024
487,7/19/2022,5,35.8,71,14,,,,39.6,79.2,0.4843,38.35656,8,2.22,21,1021
488,7/19/2022,8,35.8,71,14,,,,39.6,79.2,0.4843,38.35656,8,2.22,21,1021
489,7/19/2022,15,35.8,71,14,,,,39.6,79.2,0.4843,38.35656,8,2.22,21,1021
490,7/20/2022,5,40.3,60,38,,,,39.8,79.2,0.4843,38.35656,10,2.78,24,1020
491,7/20/2022,8,40.3,60,38,,,,39.8,79.2,0.4843,38.35656,10,2.78,24,1020
492,7/20/2022,15,40.3,60,38,,,,39.8,79.2,0.4843,38.35656,10,2.78,24,1020
493,7/21/2022,5,40.3,48,52,,,,39.6,79.2,0.4843,38.35656,14,3.89,24,1019
494,7/21/2022,8,40.3,48,52,,,,39.6,79.2,0.4843,38.35656,14,3.89,24,1019
495,7/21/2022,15,40.3,48,52,,,,39.6,79.2,0.4843,38.35656,14,3.89,24,1019
496,7/22/2022,1,40.3,23,67,,,,40,80.1,0.4843,38.79243,13.25,3.68,24,1018
497,7/22/2022,5,40.3,23,67,,,,40,80.1,0.4843,38.79243,13.25,3.68,24,1018
498,7/22/2022,8,40.3,23,67,,,,40,80.1,0.4843,38.79243,13.25,3.68,24,1018
499,7/25/2022,5,44.8,9,7,,,,40,80.1,0.4843,38.79243,9,2.5,21,1015.25
500,7/25/2022,8,44.8,9,7,,,,40,80.1,0.4843,38.79243,9,2.5,21,1015.25
501,7/25/2022,15,44.8,9,7,,,,40,80.1,0.4843,38.79243,9,2.5,21,1015.25
502,7/26/2022,1,44.8,15,8,,,,39.6,79.2,0.4843,38.35656,23.25,6.46,18,1012.75
503,7/26/2022,5,44.8,15,8,,,,39.6,79.2,0.4843,38.35656,23.25,6.46,18,1012.75
504,7/26/2022,8,44.8,15,8,,,,39.6,79.2,0.4843,38.35656,23.25,6.46,18,1012.75
505,7/27/2022,5,49.3,19,10,,,,39.8,79.2,0.4843,38.35656,11.5,3.19,19,1015
506,7/27/2022,8,49.3,19,10,,,,39.8,79.2,0.4843,38.35656,11.5,3.19,19,1015
507,7/27/2022,15,49.3,19,10,,,,39.8,79.2,0.4843,38.35656,11.5,3.19,19,1015
508,7/28/2022,5,49.3,24,10,,,,39.6,79.2,0.4843,38.35656,7.75,2.15,19,1018
509,7/28/2022,8,49.3,24,10,,,,39.6,79.2,0.4843,38.35656,7.75,2.15,19,1018
510,7/28/2022,15,49.3,24,10,,,,39.6,79.2,0.4843,38.35656,7.75,2.15,19,1018
511,7/29/2022,1,49.3,15,20,,,,40,80.1,0.4843,38.79243,18,5,21,1017
512,7/29/2022,5,49.3,15,20,,,,40,80.1,0.4843,38.79243,18,5,21,1017
513,7/29/2022,8,49.3,15,20,,,,40,80.1,0.4843,38.79243,18,5,21,1017
514,8/1/2022,1,49.3,26,16,,,,39.6,79.2,0.4843,38.35656,11,3.06,18,1014
515,8/1/2022,5,49.3,26,16,,,,39.6,79.2,0.4843,38.35656,11,3.06,18,1014
516,8/1/2022,5,49.3,26,16,,,,39.6,79.2,0.4843,38.35656,11,3.06,18,1014
517,8/2/2022,5,53.8,14,28,,,,39.8,79.2,0.4843,38.35656,14.25,3.96,20,1017
518,8/2/2022,8,53.8,14,28,,,,39.8,79.2,0.4843,38.35656,14.25,3.96,20,1017
519,8/2/2022,15,53.8,14,28,,,,39.8,79.2,0.4843,38.35656,14.25,3.96,20,1017
520,8/3/2022,1,53.8,33,11,,,,39.6,79.2,0.4843,38.35656,10,2.78,21,1018
521,8/3/2022,5,53.8,33,11,,,,39.6,79.2,0.4843,38.35656,10,2.78,21,1018
522,8/3/2022,8,53.8,33,11,,,,39.6,79.2,0.4843,38.35656,10,2.78,21,1018
523,8/4/2022,1,53.8,19,28,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,21,1018
524,8/4/2022,5,53.8,19,28,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,21,1018
525,8/4/2022,5,53.8,19,28,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,21,1018
526,8/5/2022,5,58.3,21,32,,,,39.8,79.2,0.4843,38.35656,7,1.94,24,1014
527,8/5/2022,8,58.3,21,32,,,,39.8,79.2,0.4843,38.35656,7,1.94,24,1014
528,8/5/2022,15,58.3,21,32,,,,39.8,79.2,0.4843,38.35656,7,1.94,24,1014
529,8/8/2022,1,58.3,37,21,,,,39.6,79.2,0.4843,38.35656,12.5,3.47,17,1023
530,8/8/2022,5,58.3,37,21,,,,39.6,79.2,0.4843,38.35656,12.5,3.47,17,1023
531,8/8/2022,8,58.3,37,21,,,,39.6,79.2,0.4843,38.35656,12.5,3.47,17,1023
532,8/9/2022,1,58.3,26,34,,,,40,80.1,0.4843,38.79243,25,6.94,18,1024
533,8/9/2022,1,58.3,26,34,,,,40,80.1,0.4843,38.79243,25,6.94,18,1024
534,8/9/2022,1,58.3,26,34,,,,40,80.1,0.4843,38.79243,25,6.94,18,1024
535,8/10/2022,5,62.8,36,32,,,,39.6,79.2,0.4843,38.35656,12.25,3.4,18,1024
536,8/10/2022,8,62.8,36,32,,,,39.6,79.2,0.4843,38.35656,12.25,3.4,18,1024
537,8/10/2022,15,62.8,36,32,,,,39.6,79.2,0.4843,38.35656,12.25,3.4,18,1024
538,8/11/2022,1,62.8,47,24,,,,39.8,79.2,0.4843,38.35656,19.25,5.35,19,1022
539,8/11/2022,5,62.8,47,24,,,,39.8,79.2,0.4843,38.35656,19.25,5.35,19,1022
540,8/11/2022,8,62.8,47,24,,,,39.8,79.2,0.4843,38.35656,19.25,5.35,19,1022
541,8/12/2022,1,62.8,55,18,,,,39.6,79.2,0.4843,38.35656,19,5.28,18,1020
542,8/12/2022,5,62.8,55,18,,,,39.6,79.2,0.4843,38.35656,19,5.28,18,1020
543,8/12/2022,5,62.8,55,18,,,,39.6,79.2,0.4843,38.35656,19,5.28,18,1020
544,8/16/2022,1,62.8,32,46,,,,40,80.1,0.4843,38.79243,16,4.44,23,1009
545,8/16/2022,1,62.8,32,46,,,,40,80.1,0.4843,38.79243,16,4.44,23,1009
546,8/16/2022,1,62.8,32,46,,,,40,80.1,0.4843,38.79243,16,4.44,23,1009
547,8/17/2022,1,67.3,58,20,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,24,1011
548,8/17/2022,5,67.3,58,20,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,24,1011
549,8/17/2022,8,67.3,58,20,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,24,1011
550,8/18/2022,1,67.3,45,42,,,,39.8,79.2,0.4843,38.35656,11,3.06,23,1012
551,8/18/2022,5,67.3,45,42,,,,39.8,79.2,0.4843,38.35656,11,3.06,23,1012
552,8/18/2022,5,67.3,45,42,,,,39.8,79.2,0.4843,38.35656,11,3.06,23,1012
553,8/19/2022,1,67.3,60,29,,,,39.6,79.2,0.4843,38.35656,12.5,3.47,25,1010
554,8/19/2022,1,67.3,60,29,,,,39.6,79.2,0.4843,38.35656,12.5,3.47,25,1010
555,8/19/2022,1,67.3,60,29,,,,39.6,79.2,0.4843,38.35656,12.5,3.47,25,1010
556,8/22/2022,1,72,33,56,,,,40,80.1,0.4843,38.79243,12.5,3.47,20,1011
557,8/22/2022,5,72,33,56,,,,40,80.1,0.4843,38.79243,12.5,3.47,20,1011
558,8/22/2022,8,72,33,56,,,,40,80.1,0.4843,38.79243,12.5,3.47,20,1011
559,8/23/2022,1,72,68,21,,,,40,80.1,0.4843,38.79243,13.5,3.75,20,1014
560,8/23/2022,1,72,68,21,,,,40,80.1,0.4843,38.79243,13.5,3.75,20,1014
561,8/23/2022,1,72,68,21,,,,40,80.1,0.4843,38.79243,13.5,3.75,20,1014
562,8/24/2022,1,72,65,29,,,,39.6,79.2,0.4843,38.35656,9.5,2.64,21,1018
563,8/24/2022,1,72,65,29,,,,39.6,79.2,0.4843,38.35656,9.5,2.64,21,1018
564,8/24/2022,1,72,65,29,,,,39.6,79.2,0.4843,38.35656,9.5,2.64,21,1018
565,8/25/2022,1,72,53,46,,,,39.8,79.2,0.4843,38.35656,9.5,2.64,22,1016
566,8/25/2022,1,72,53,46,,,,39.8,79.2,0.4843,38.35656,9.5,2.64,22,1016
567,8/25/2022,1,72,53,46,,,,39.8,79.2,0.4843,38.35656,9.5,2.64,22,1016
568,8/26/2022,5,13.2,40,57,,,,39.6,79.2,0.4843,38.35656,16.5,4.58,22,1013
569,8/26/2022,8,13.2,40,57,,,,39.6,79.2,0.4843,38.35656,16.5,4.58,22,1013
570,8/26/2022,15,13.2,40,57,,,,39.6,79.2,0.4843,38.35656,16.5,4.58,22,1013
571,8/29/2022,5,17.7,32,62,,,,40,80.1,0.4843,38.79243,14.5,4.03,18,1018
572,8/29/2022,8,17.7,32,62,,,,40,80.1,0.4843,38.79243,14.5,4.03,18,1018
573,8/29/2022,15,17.7,32,62,,,,40,80.1,0.4843,38.79243,14.5,4.03,18,1018
574,8/30/2022,5,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,13,3.61,18,1019
575,8/30/2022,8,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,13,3.61,18,1019
576,8/30/2022,15,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,13,3.61,18,1019
577,8/31/2022,5,26.7,24,10,,,,39.8,79.2,0.4843,38.35656,12,3.33,17,1020
578,8/31/2022,8,26.7,24,10,,,,39.8,79.2,0.4843,38.35656,12,3.33,17,1020
579,8/31/2022,15,26.7,24,10,,,,39.8,79.2,0.4843,38.35656,12,3.33,17,1020
580,9/1/2022,5,26.7,15,20,,,,39.6,79.2,0.4843,38.35656,17,4.72,16,1019
581,9/1/2022,8,26.7,15,20,,,,39.6,79.2,0.4843,38.35656,17,4.72,16,1019
582,9/1/2022,15,26.7,15,20,,,,39.6,79.2,0.4843,38.35656,17,4.72,16,1019
583,9/2/2022,5,31.3,26,16,,,,40,80.1,0.4843,38.79243,18,5,15,1019
584,9/2/2022,8,31.3,26,16,,,,40,80.1,0.4843,38.79243,18,5,15,1019
585,9/2/2022,15,31.3,26,16,,,,40,80.1,0.4843,38.79243,18,5,15,1019
586,9/5/2022,5,31.3,14,28,,,,40,80.1,0.4843,38.79243,13.5,3.75,13,1025
587,9/5/2022,8,31.3,14,28,,,,40,80.1,0.4843,38.79243,13.5,3.75,13,1025
588,9/5/2022,15,31.3,14,28,,,,40,80.1,0.4843,38.79243,13.5,3.75,13,1025
589,9/6/2022,5,35.8,33,11,,,,39.6,79.2,0.4843,38.35656,18.5,5.14,14,1022
590,9/6/2022,8,35.8,33,11,,,,39.6,79.2,0.4843,38.35656,18.5,5.14,14,1022
591,9/6/2022,15,35.8,33,11,,,,39.6,79.2,0.4843,38.35656,18.5,5.14,14,1022
592,9/7/2022,5,13.2,9,7,,,,39.8,79.2,0.4843,38.35656,11.5,3.19,16,1017
593,9/7/2022,8,13.2,9,7,,,,39.8,79.2,0.4843,38.35656,11.5,3.19,16,1017
594,9/7/2022,15,13.2,9,7,,,,39.8,79.2,0.4843,38.35656,11.5,3.19,16,1017
595,9/8/2022,5,17.7,15,8,,,,39.6,79.2,0.4843,38.35656,15.5,4.31,19,1011
596,9/8/2022,8,17.7,15,8,,,,39.6,79.2,0.4843,38.35656,15.5,4.31,19,1011
597,9/8/2022,15,17.7,15,8,,,,39.6,79.2,0.4843,38.35656,15.5,4.31,19,1011
598,9/9/2022,5,22.2,19,10,,,,40,80.1,0.4843,38.79243,10.75,2.99,18,1014
599,9/9/2022,8,22.2,19,10,,,,40,80.1,0.4843,38.79243,10.75,2.99,18,1014
600,9/9/2022,15,22.2,19,10,,,,40,80.1,0.4843,38.79243,10.75,2.99,18,1014
601,9/12/2022,5,26.7,24,10,,,,39.6,79.2,0.4843,38.35656,19.75,5.49,13,1015
602,9/12/2022,8,26.7,24,10,,,,39.6,79.2,0.4843,38.35656,19.75,5.49,13,1015
603,9/12/2022,15,26.7,24,10,,,,39.6,79.2,0.4843,38.35656,19.75,5.49,13,1015
604,9/13/2022,5,26.7,15,20,,,,39.8,79.2,0.4843,38.35656,12.5,3.47,14,1012
605,9/13/2022,8,26.7,15,20,,,,39.8,79.2,0.4843,38.35656,12.5,3.47,14,1012
606,9/13/2022,15,26.7,15,20,,,,39.8,79.2,0.4843,38.35656,12.5,3.47,14,1012
607,9/14/2022,5,31.3,26,16,,,,39.6,79.2,0.4843,38.35656,15.5,4.31,17,1006
608,9/14/2022,8,31.3,26,16,,,,39.6,79.2,0.4843,38.35656,15.5,4.31,17,1006
609,9/14/2022,15,31.3,26,16,,,,39.6,79.2,0.4843,38.35656,15.5,4.31,17,1006
610,9/15/2022,5,31.3,14,28,,,,39.6,79.2,0.4843,38.35656,16.5,4.58,16,1004
611,9/15/2022,8,31.3,14,28,,,,39.6,79.2,0.4843,38.35656,16.5,4.58,16,1004
612,9/15/2022,15,31.3,14,28,,,,39.6,79.2,0.4843,38.35656,16.5,4.58,16,1004
613,9/16/2022,5,35.8,33,11,,,,39.8,79.2,0.4843,38.35656,20,5.56,14,1007
614,9/16/2022,8,35.8,33,11,,,,39.8,79.2,0.4843,38.35656,20,5.56,14,1007
615,9/16/2022,15,35.8,33,11,,,,39.8,79.2,0.4843,38.35656,20,5.56,14,1007
616,9/19/2022,5,35.8,19,28,,,,39.6,79.2,0.4843,38.35656,19.25,5.35,10,1011
617,9/19/2022,8,35.8,19,28,,,,39.6,79.2,0.4843,38.35656,19.25,5.35,10,1011
618,9/19/2022,15,35.8,19,28,,,,39.6,79.2,0.4843,38.35656,19.25,5.35,10,1011
619,9/20/2022,1,40.3,21,32,,,,40,80.1,0.4843,38.79243,18,5,10,1017
620,9/20/2022,5,40.3,21,32,,,,40,80.1,0.4843,38.79243,18,5,10,1017
621,9/20/2022,8,40.3,21,32,,,,40,80.1,0.4843,38.79243,18,5,10,1017
622,9/21/2022,5,44.8,37,21,,,,39.6,79.2,0.4843,38.35656,16.75,4.65,9,1022
623,9/21/2022,8,44.8,37,21,,,,39.6,79.2,0.4843,38.35656,16.75,4.65,9,1022
624,9/21/2022,15,44.8,37,21,,,,39.6,79.2,0.4843,38.35656,16.75,4.65,9,1022
625,9/22/2022,1,44.8,26,34,,,,39.8,79.2,0.4843,38.35656,10.75,2.99,8,1022
626,9/22/2022,5,44.8,26,34,,,,39.8,79.2,0.4843,38.35656,10.75,2.99,8,1022
627,9/22/2022,8,44.8,26,34,,,,39.8,79.2,0.4843,38.35656,10.75,2.99,8,1022
628,9/23/2022,1,49.3,36,32,,,,39.6,79.2,0.4843,38.35656,8,2.22,10,1020
629,9/23/2022,5,49.3,36,32,,,,39.6,79.2,0.4843,38.35656,8,2.22,10,1020
630,9/23/2022,8,49.3,36,32,,,,39.6,79.2,0.4843,38.35656,8,2.22,10,1020
631,9/26/2022,1,53.8,47,24,,,,40,80.1,0.4843,38.79243,5.5,1.53,10,1007
632,9/26/2022,5,53.8,47,24,,,,40,80.1,0.4843,38.79243,5.5,1.53,10,1007
633,9/26/2022,8,53.8,47,24,,,,40,80.1,0.4843,38.79243,5.5,1.53,10,1007
634,9/27/2022,5,58.3,55,18,,,,40,80.1,0.4843,38.79243,14.25,3.96,12,1000
635,9/27/2022,8,58.3,55,18,,,,40,80.1,0.4843,38.79243,14.25,3.96,12,1000
636,9/27/2022,15,58.3,55,18,,,,40,80.1,0.4843,38.79243,14.25,3.96,12,1000
637,9/28/2022,1,58.3,32,46,,,,39.6,79.2,0.4843,38.35656,19.5,5.42,12,1000
638,9/28/2022,5,58.3,32,46,,,,39.6,79.2,0.4843,38.35656,19.5,5.42,12,1000
639,9/28/2022,5,58.3,32,46,,,,39.6,79.2,0.4843,38.35656,19.5,5.42,12,1000
640,9/29/2022,1,62.8,58,20,,,,39.8,79.2,0.4843,38.35656,8.5,2.36,12,1005
641,9/29/2022,5,62.8,58,20,,,,39.8,79.2,0.4843,38.35656,8.5,2.36,12,1005
642,9/29/2022,8,62.8,58,20,,,,39.8,79.2,0.4843,38.35656,8.5,2.36,12,1005
643,9/30/2022,1,62.8,45,42,,,,39.6,79.2,0.4843,38.35656,9,2.5,11,1012
644,9/30/2022,5,62.8,45,42,,,,39.6,79.2,0.4843,38.35656,9,2.5,11,1012
645,9/30/2022,5,62.8,45,42,,,,39.6,79.2,0.4843,38.35656,9,2.5,11,1012
646,10/3/2022,1,67.3,60,29,,,,40,80.1,0.4843,38.79243,32.25,8.96,10,1015
647,10/3/2022,5,67.3,60,29,,,,40,80.1,0.4843,38.79243,32.25,8.96,10,1015
648,10/3/2022,8,67.3,60,29,,,,40,80.1,0.4843,38.79243,32.25,8.96,10,1015
649,10/4/2022,1,67.3,33,56,,,,39.6,79.2,0.4843,38.35656,19.5,5.42,10,1021
650,10/4/2022,1,67.3,33,56,,,,39.6,79.2,0.4843,38.35656,19.5,5.42,10,1021
651,10/4/2022,1,67.3,33,56,,,,39.6,79.2,0.4843,38.35656,19.5,5.42,10,1021
652,10/5/2022,5,72,68,21,,,,39.8,79.2,0.4843,38.35656,11.75,3.26,11,1023
653,10/5/2022,8,72,68,21,,,,39.8,79.2,0.4843,38.35656,11.75,3.26,11,1023
654,10/5/2022,15,72,68,21,,,,39.8,79.2,0.4843,38.35656,11.75,3.26,11,1023
655,10/6/2022,1,72,65,29,,,,39.6,79.2,0.4843,38.35656,19.75,5.49,14,1027
656,10/6/2022,5,72,65,29,,,,39.6,79.2,0.4843,38.35656,19.75,5.49,14,1027
657,10/6/2022,5,72,65,29,,,,39.6,79.2,0.4843,38.35656,19.75,5.49,14,1027
658,10/7/2022,1,72,53,46,,,,39.6,79.2,0.4843,38.35656,9.5,2.64,14,1026
659,10/7/2022,1,72,53,46,,,,39.6,79.2,0.4843,38.35656,9.5,2.64,14,1026
660,10/7/2022,1,72,53,46,,,,39.6,79.2,0.4843,38.35656,9.5,2.64,14,1026
661,10/10/2022,1,72,40,57,,,,39.8,79.2,0.4843,38.35656,10.5,2.92,10,1023
662,10/10/2022,1,72,40,57,,,,39.8,79.2,0.4843,38.35656,10.5,2.92,10,1023
663,10/10/2022,1,72,40,57,,,,39.8,79.2,0.4843,38.35656,10.5,2.92,10,1023
664,10/11/2022,1,72,32,62,,,,39.6,79.2,0.4843,38.35656,13.5,3.75,12,1024
665,10/11/2022,1,72,32,62,,,,39.6,79.2,0.4843,38.35656,13.5,3.75,12,1024
666,10/11/2022,1,72,32,62,,,,39.6,79.2,0.4843,38.35656,13.5,3.75,12,1024
667,10/12/2022,15,13.2,12,3,,,,40,80.1,0.4843,38.79243,8.5,2.36,9,1026
668,10/12/2022,25,13.2,12,3,,,,40,80.1,0.4843,38.79243,8.5,2.36,9,1026
669,10/12/2022,40,13.2,12,3,,,,40,80.1,0.4843,38.79243,8.5,2.36,9,1026
670,10/13/2022,15,13.2,9,7,,,,39.6,79.2,0.4843,38.35656,7.25,2.01,9,1023
671,10/13/2022,25,13.2,9,7,,,,39.6,79.2,0.4843,38.35656,7.25,2.01,9,1023
672,10/13/2022,40,13.2,9,7,,,,39.6,79.2,0.4843,38.35656,7.25,2.01,9,1023
673,10/14/2022,15,13.2,5,10,,,,39.8,79.2,0.4843,38.35656,5.5,1.53,12,1018
674,10/14/2022,25,13.2,5,10,,,,39.8,79.2,0.4843,38.35656,5.5,1.53,12,1018
675,10/14/2022,40,13.2,5,10,,,,39.8,79.2,0.4843,38.35656,5.5,1.53,12,1018
676,10/17/2022,15,17.7,17,4,,,,39.6,79.2,0.4843,38.35656,6.75,1.88,15,1028
677,10/17/2022,25,17.7,17,4,,,,39.6,79.2,0.4843,38.35656,6.75,1.88,15,1028
678,10/17/2022,40,17.7,17,4,,,,39.6,79.2,0.4843,38.35656,6.75,1.88,15,1028
679,10/18/2022,15,17.7,15,8,,,,40,80.1,0.4843,38.79243,18.25,5.07,15,1024
680,10/18/2022,25,17.7,15,8,,,,40,80.1,0.4843,38.79243,18.25,5.07,15,1024
681,10/18/2022,40,17.7,15,8,,,,40,80.1,0.4843,38.79243,18.25,5.07,15,1024
682,10/19/2022,15,22.2,20,4,,,,39.6,79.2,0.4843,38.35656,22.5,6.25,10,1024
683,10/19/2022,25,22.2,20,4,,,,39.6,79.2,0.4843,38.35656,22.5,6.25,10,1024
684,10/19/2022,40,22.2,20,4,,,,39.6,79.2,0.4843,38.35656,22.5,6.25,10,1024
685,10/20/2022,15,22.2,19,10,,,,39.8,79.2,0.4843,38.35656,14,3.89,8,1027
686,10/20/2022,25,22.2,19,10,,,,39.8,79.2,0.4843,38.35656,14,3.89,8,1027
687,10/20/2022,40,22.2,19,10,,,,39.8,79.2,0.4843,38.35656,14,3.89,8,1027
688,10/21/2022,15,26.7,26,4,,,,39.6,79.2,0.4843,38.35656,8.75,2.43,8,1018
689,10/21/2022,25,26.7,26,4,,,,39.6,79.2,0.4843,38.35656,8.75,2.43,8,1018
690,10/21/2022,40,26.7,26,4,,,,39.6,79.2,0.4843,38.35656,8.75,2.43,8,1018
691,10/24/2022,15,26.7,23,11,,,,40,80.1,0.4843,38.79243,9,2.5,14,1015
692,10/24/2022,25,26.7,23,11,,,,40,80.1,0.4843,38.79243,9,2.5,14,1015
693,10/24/2022,40,26.7,23,11,,,,40,80.1,0.4843,38.79243,9,2.5,14,1015
694,10/25/2022,15,31.3,30,5,,,,40,80.1,0.4843,38.79243,21.5,5.97,14,1017
695,10/25/2022,25,31.3,30,5,,,,40,80.1,0.4843,38.79243,21.5,5.97,14,1017
